department_id,department_name,manager_id,avg_salary
10,Administration,200,1700
20,Marketing,201,1800
30,Purchasing,114,1700
40,Human Resources,203,2400
50,Shipping,121,1500
60,IT,103,1400
70,Public Relations,204,2700
80,Sales,145,2500
90,Executive,100,1700
100,Finance,108,1700
110,Accounting,205,1700
120,Treasury,000,1700
130,Corporate Tax,000,1700
140,Control And Credit,000,1700
150,Shareholder Services,000,1700
160,Benefits,000,1700
170,Manufacturing,000,1700
180,Construction,000,1700
190,Contracting,000,1700
200,Operations,000,1700
210,IT Support,000,1700
220,NOC,000,1700
230,IT Helpdesk,000,1700
240,Government Sales,000,1700
250,Retail Sales,000,1700
260,Recruiting,000,1700
270,Payroll,000,1700
